[exp1_alpha0.0_seed0] round=1 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.5_seed1] round=4 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=5 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=6 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=7 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=8 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=9 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=10 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=11 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=12 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=13 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=14 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=15 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=16 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=17 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=18 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=19 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=20 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed2] round=1 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=2 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=3 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=4 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=5 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=6 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=7 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=8 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=9 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=10 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=11 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=12 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=13 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=14 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=15 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=16 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=17 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=18 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=19 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed2] round=20 alpha=0.5 cids=[7466037607926691627, 10499425920362021664, 11235479270065583352, 12507888613082968528] num_examples=[85, 172, 199, 30] normalized_weights=[0.21994, 0.312867, 0.336529, 0.130664]
[exp1_alpha0.5_seed3] round=1 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=2 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=3 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=4 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=5 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=6 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=7 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=8 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=9 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=10 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=11 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=12 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=13 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=14 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=15 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=16 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=17 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=18 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=19 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed3] round=20 alpha=0.5 cids=[2396647434614745175, 2800168095585757593, 3935997031022937893, 6905674157851674677] num_examples=[199, 172, 85, 30] normalized_weights=[0.336529, 0.312867, 0.21994, 0.130664]
[exp1_alpha0.5_seed4] round=1 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=2 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=3 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=4 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=5 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=6 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=7 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=8 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=9 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=10 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=11 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=12 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=13 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=14 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=15 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=16 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=17 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=18 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=19 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha0.5_seed4] round=20 alpha=0.5 cids=[3610767303624856907, 5253747678620105594, 10347377922472308623, 17599086371876444520] num_examples=[30, 199, 85, 172] normalized_weights=[0.130664, 0.336529, 0.21994, 0.312867]
[exp1_alpha1.0_seed0] round=1 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=2 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=3 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=4 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=5 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=6 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=7 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=8 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=9 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=10 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=11 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=12 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=13 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=14 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=15 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=16 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=17 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=18 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=19 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed0] round=20 alpha=1.0 cids=[3228104884315577615, 4203027059049988760, 16467469967876424290, 17004401063854707151] num_examples=[172, 199, 30, 85] normalized_weights=[0.353909, 0.409465, 0.061728, 0.174897]
[exp1_alpha1.0_seed1] round=1 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=2 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=3 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=4 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=5 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=6 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=7 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=8 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=9 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=10 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=11 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=12 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=13 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=14 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=15 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=16 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=17 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=18 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=19 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed1] round=20 alpha=1.0 cids=[1446608892422013888, 7352419744471478163, 12573232919684862804, 13093713707872661457] num_examples=[30, 199, 172, 85] normalized_weights=[0.061728, 0.409465, 0.353909, 0.174897]
[exp1_alpha1.0_seed2] round=1 alpha=1.0 cids=[2538964125109272894, 4637054263192967300, 8067440269249078084, 14021318133293012469] num_examples=[85, 199, 30, 172] normalized_weights=[0.174897, 0.409465, 0.061728, 0.353909]
[exp1_alpha1.0_seed2] round=2 alpha=1.0 cids=[2538964125109272894, 4637054263192967300, 8067440269249078084, 14021318133293012469] num_examples=[85, 199, 30, 172] normalized_weights=[0.174897, 0.409465, 0.061728, 0.353909]
